start values, python addition, python multiplication
2.57675710915e-18,5.15351421831e-18,6.63967719958e-36,rip
4.24835425529e-18,8.49670851058e-18,1.80485138785e-35,rip
7.00435202617e-18,1.40087040523e-17,4.90609473065e-35,rip
1.1548224173e-17,2.3096448346e-17,1.3336148155e-34,rip
1.90398028329e-17,3.80796056657e-17,3.62514091914e-34,rip
3.13913279205e-17,6.2782655841e-17,9.85415468611e-34,rip
5.1755550058e-17,1.03511100116e-16,2.67863696181e-33,rip
8.53304762574e-17,1.70660952515e-16,7.28129017832e-33,rip
1.40686171245e-16,2.81372342489e-16,1.97925987795e-32,rip
2.31952283024e-16,4.63904566049e-16,5.38018616002e-32,rip
3.8242466281e-16,7.64849325619e-16,1.46248622725e-31,rip
6.30511676015e-16,1.26102335203e-15,3.97544973591e-31,rip
1.03953801167e-15,2.07907602334e-15,1.08063927771e-30,rip
1.71390843154e-15,3.42781686308e-15,2.93748211171e-30,rip
2.82575728712e-15,5.65151457423e-15,7.98490424569e-30,rip
4.6588861451e-15,9.31777229021e-15,2.1705220113e-29,rip
7.6812046852e-15,1.53624093704e-14,5.9000905416e-29,rip
1.26641655491e-14,2.53283310982e-14,1.60381089055e-28,rip
2.08796791165e-14,4.17593582329e-14,4.35961000006e-28,rip
3.44247710847e-14,6.88495421694e-14,1.18506486423e-27,rip
5.67568523263e-14,1.13513704653e-13,3.22134028599e-27,rip
9.35762296884e-14,1.87152459377e-13,8.7565107627e-27,rip
1.54281120319e-13,3.08562240638e-13,2.38026640869e-26,rip
2.54366564738e-13,5.08733129475e-13,6.47023492565e-26,rip
4.19379565838e-13,8.38759131676e-13,1.75879220242e-25,rip
6.91440010694e-13,1.38288002139e-12,4.78089288389e-25,rip
1.13999185304e-12,2.27998370609e-12,1.29958142501e-24,rip
1.87952881654e-12,3.75905763308e-12,3.5326285722e-24,rip
3.09881913872e-12,6.19763827744e-12,9.60268005451e-24,rip
5.10908902806e-12,1.02181780561e-11,2.61027906967e-23,rip
8.42346375447e-12,1.68469275089e-11,7.09547416228e-23,rip
1.3887943865e-11,2.77758877299e-11,1.92874984796e-22,rip
2.28973484565e-11,4.57946969129e-11,5.24288566336e-22,rip
3.77513454428e-11,7.55026908856e-11,1.42516408274e-21,rip
6.22414462291e-11,1.24482892458e-10,3.87399762869e-21,rip
1.02618796317e-10,2.05237592634e-10,1.05306173576e-20,rip
1.69189792262e-10,3.38379584523e-10,2.86251858055e-20,rip
2.78946809287e-10,5.57893618574e-10,7.78113224113e-20,rip
4.59905537865e-10,9.1981107573e-10,2.11513103759e-19,rip
7.58256042791e-10,1.51651208558e-09,5.74952226429e-19,rip
1.25015286639e-09,2.50030573277e-09,1.56288218933e-18,rip
2.06115362244e-09,4.12230724488e-09,4.24835425529e-18,rip
